Nazwa_handlowa,Angielska_nazwa,Inter_substancja_aktywna,Inter_produkty_spozywcze,Skutek_uboczny,Zalecenia,interakcje z dzialaniami,Interakcje,Strona,Substancja_aktywna,Wskazania,,,,,,,,,,,,,,,,,,,,,,,,,,Wskazania,Choroby
Doksorubicyna,Doxorubicin,,"dziurawiec, grejpfrut",,,,"Podczas terapii doksorubicynÄ… naleÅ¼y unikaÄ‡ wyciÄ…gÃ³w zÂ dziurawca.Â ZioÅ‚o to indukuje metabolizm CYP3A4, co moÅ¼e zmniejszaÄ‡ stÄ™Å¼enie doksorubicyny w surowicy.Â Grejpfrut natomiast hamuje metabolizm CYP3A4, co moÅ¼e zwiÄ™kszaÄ‡ stÄ™Å¼enie doksorubicyny w surowicy. Dlatego naleÅ¼y takÅ¼e unikaÄ‡ sokÃ³w grejpfrutowych i wyciÄ…gÃ³w go zawierajÄ…cych.
W czasie terapii doksorubicynÄ… nie naleÅ¼y stosowaÄ‡ wyciÄ…gÃ³w zÂ  dziurawca Hypericum perforatum, gdyÅ¼ moÅ¼e on obniÅ¼aÄ‡ stÄ™Å¼enie doksorubicyny w osoczu krwi.
",https://www.doz.pl//leki/w305-Doksorubicyna,"doksorubicyna, doksorubicyny chlorowodorku",Doksorubicyna jest cytotoksycznym antybiotykiem antracyklinowym wyizolowanym z kultur Streptomyces peucetius var.Â caesius. ZnalazÅ‚a zastosowanie w terapii nastÄ™pujÄ…cych stanÃ³w nowotworowych:,,,,,,,,,,,,,,,,,,,,,,,,,,depresja,
Doksycyklina,Doxycycline,,"mleko, ser, jogurty, kefiry, alkohol",,,zaburzenie wynikow badan kontrolnych,"Produkty nabiaÅ‚owe takie jak mleko, sery, jogurty, kefir zmniejszajÄ… wchÅ‚anianie doksycykliny z przewodu pokarmowego, dlatego naleÅ¼y zachowaÄ‡ co najmniej dwu godzinny odstÄ™p pomiÄ™dzy przyjÄ™ciem laku a spoÅ¼ywaniem produktÃ³w nabiaÅ‚owych
Alkohol osÅ‚abia efekt terapeutyczny doksycykliny, naleÅ¼y unikaÄ‡ jednoczesnego stosowania.
Stosowanie doksycykliny moÅ¼e zaburzaÄ‡ wyniki testÃ³w wykrywajÄ…cych stÄ™Å¼eniaeÂ glukozy, biaÅ‚ka urobilinogenu orazÂ katecholaminÂ w moczu,Â 
",https://www.doz.pl//leki/w306-Doksycyklina,"doksycyklina, hyklan doksycykliny",DoksycyklinÄ™ stosujÄ™ siÄ™ w leczeniu infekcji spowodowanych przez bakteria wraÅ¼liwe na dziaÅ‚anie tej substancji.,,,,,,,,,,,,,,,,,,,,,,,,,,zapalenia,
Doksylamina,Doxylamine,,"grejpfrut, alkohol",,,hamuje reakcje alergiczne,"W zwiÄ…zku z tym, Å¼e dane dotyczÄ…ce hamowania metabolizmu doksylaminy przez grejpfrut sÄ… ograniczone, nie zaleca siÄ™ jego picia w czasie stosowania substancji czynnej.
Jednoczesne stosowanie doksylaminy i picie alkoholu jest przeciwwskazane. Alkohol wykazuje depresyjne dziaÅ‚anie na oÅ›rodkowy ukÅ‚ad nerwowy (OUN).Â Doksylamina w poÅ‚Ä…czeniu z alkoholem bÄ™dzie zatem wykazywaÅ‚a addytywne dziaÅ‚anieÂ na OUN.
Doksylamina, jako lek naleÅ¼Ä…cy do substancji przeciwhistamnowych, hamuje reakcje alergiczne. Zaleca siÄ™ odstawienie leku na 3 dni przed planowanym testem skÃ³rnym (ryzyko wynikÃ³w faÅ‚szywie ujemnych).
",https://www.doz.pl//leki/w307-Doksylamina,"doksylamina, doksylaminy wodorobursztynianu","Doksylamina to lek przeciwhistaminowy powszechnie stosowany jako Å›rodek nasenny i uspakajajÄ…cy. Na Å›wiecie substancja ta jest rÃ³wnieÅ¼ stosowana w Å‚agodzeniu objawÃ³w kataru siennego (alergicznego nieÅ¼ytu nosa), pokrzywki (wysypka lub swÄ™dzenie) i innych reakcji alergicznych. Doksylamina jest rÃ³wnieÅ¼ silnym Å›rodkiem antycholinergicznym. W Polsce substancja czynna wskazana jest przede wszystkim w krÃ³tkotrwaÅ‚ym leczeniu bezsennoÅ›ci (czÄ™ste przebudzenia w godzinach porannych lub nocnych).",,,,,,,,,,,,,,,,,,,,,,,,,,alergia,
Dolutegrawir,Dolutegravir,,,,,martwica kosci,"Zaobserwowano wzrost ryzyka wystÄ…pienia martwicy koÅ›ci u pacjentÃ³w stosujÄ…cych terapiÄ™ antyretrowirusowÄ… i spoÅ¼ywajÄ…cych alkohol.
Preparaty dziurawca mogÄ… zmniejszaÄ‡ stÄ™Å¼enie dolutegrawiru w osoczu. W szczegÃ³lnoÅ›ci u pacjentÃ³w z opornoÅ›ciÄ… na inhibitory integrazy naleÅ¼y rozwaÅ¼yÄ‡ zastosowanie innych lekÃ³w o podobnym dziaÅ‚aniu do wyciÄ…gÃ³w z dziurawca.
",https://www.doz.pl//leki/w309-Dolutegrawir,dolutegrawir,"Dolutegrawir jest lekiem przeciwwirusowym naleÅ¼Ä…cym do grupy inhibitorÃ³w integrazy. Lek stosowany jest w skojarzeniu z innymi lekami antyretrowirusowymi w terapii zakaÅ¼eÅ„ ludzkim wirusem upoÅ›ledzenia odpornoÅ›ci (HIV) u osÃ³b dorosÅ‚ych, mÅ‚odzieÅ¼y oraz dzieci od 6 r.Å¼. i masie minimalnej 14 kg.",,,,,,,,,,,,,,,,,,,,,,,,,,HIV,
Domperidon,Domperidone,,alkohol,,,,"Domperidon naleÅ¼y przyjmowaÄ‡ 15-30min przed posiÅ‚kiem, ze wzglÄ™du na lepsze wchÅ‚anianie leku.Â 
Alkohol osÅ‚abia metabolizm domperidonu, dlatego nie naleÅ¼y go spoÅ¼ywaÄ‡ podczas terapii domperidonem.Â 
",https://www.doz.pl//leki/w310-Domperidon,domperidon,"Domperidon znajduje zastosowanie w leczeniuÂ nudnoÅ›ci, wymiotÃ³w, uczucia peÅ‚noÅ›ci orazÂ bÃ³liÂ w nadbrzuszu, a takÅ¼e refluksu Å¼oÅ‚Ä…dkowego.Â ",,,,,,,,,,,,,,,,,,,,,,,,,,choroby pokarmowe,
Donepezil,Donepezil,,"alkohol, dziurawiec",,,,"SpoÅ¼ywanie alkoholu podczas leczenia donepezilem jest przeciwwskazane, ze wzglÄ™du na zmniejszenie stÄ™Å¼enia substancji czynnej, a co za tym idzie zmniejszenie dziaÅ‚ania leku.
Jednoczesne stosowanie donepezilu oraz preparatÃ³w, ktÃ³re zwierajÄ… w swoim skÅ‚adzie wyciÄ…g z dziurawca Hypericum perforatum moÅ¼e powodowaÄ‡ osÅ‚abienie dziaÅ‚ania substancji macierzystej.
",https://www.doz.pl//leki/w311-Donepezil,"chlorowodorku donepezilu, donepezil",Wskazaniami do stosowania donepezilu jest Å‚agodna oraz Å›rednio ciÄ™Å¼ka postaÄ‡ otÄ™pienia przebiegajÄ…ca w chorobie Alzheimera.,,,,,,,,,,,,,,,,,,,,,,,,,,choroba Alzheimera,
Dopamina,Dopamine,,,,,"prowadzenie pojazdow, oslabienie zdolnosci obslugi maszyn, problemy z chorymi na chorobe Parkinsona","Jako Å¼e dopamina jest stosowana w stanach zagroÅ¼eniach Å¼ycia nie zaobserwowano wpÅ‚ywu na prowadzenie pojazdÃ³w lub obsÅ‚ugÄ™Â maszyn.
U chorych na chorobÄ™ Parkinsona leczonych agonistami dopaminy po podaniu dopaminy zaobserwowano skÅ‚onnoÅ›Ä‡Â do gier hazardowych, wzrost libido.
",https://www.doz.pl//leki/w312-Dopamina,dopamina chlorowodorek,"Dopamina jest stosowana w leczeniu zaburzeÅ„ krÄ…Å¼enia wywoÅ‚anych wstrzÄ…sem po zawale miÄ™Å›nia sercowego, posocznicy, urazach, operacjach kardiochirurgicznych, zaostrzeniach przewlekÅ‚ej zastoinowej niewydolnoÅ›ci serca a takÅ¼e we wstrzÄ…sie prowadzÄ…cym do niewydolnoÅ›ci nerek.",,,,,,,,,,,,,,,,,,,,,,,,,,choroby układu krwionosnego,
Dorzolamid,Dorzolamide,,,"nieostroznosc widzenia, zawroty głowy",,,"Po zastosowaniu miejscowo kropli do oczu zawierajÄ…cych dorzolamid moÅ¼e nastÄ…piÄ‡ nieostroÅ›Ä‡ widzenia czy zawroty gÅ‚owy. Do momentu ustania tych objawÃ³w po aplikacji leku nie naleÅ¼y prowadziÄ‡ pojazdÃ³w oraz obsÅ‚ugiwaÄ‡ maszyn.Â 
",https://www.doz.pl//leki/w314-Dorzolamid,dorzolamid,"Dorzolamid jest lekiem obniÅ¼ajÄ…cym ciÅ›nienie wewnÄ…trzgaÅ‚kowe, dlatego stosowany jest u chorych z nadciÅ›nieniem w gaÅ‚ce ocznej. Ponadto, dorzolamid znalazÅ‚ zastosowanie w leczeniu jaskry z otwartym kÄ…tem przesÄ…czania, jaskrÄ… torebkowÄ… oraz jaskrÄ… wtÃ³rnÄ… z zespoÅ‚em pseudoeksfoliacji.Â ",,,,,,,,,,,,,,,,,,,,,,,,,,nadcisnienie tetnicze,
Dronedaron,Dronedarone,,"grejpfrut, dziurawiec",,,,"grejpfrut i napoje z nich pozyskiwane podnoszÄ… stÄ™Å¼enie dronedaronu, zwiÄ™kszajÄ…c ryzyko wystÄ…pienia dziaÅ‚aÅ„ niepoÅ¼Ä…danych. SubstancjÄ™ leczniczÄ… i owoc moÅ¼na przyjÄ…Ä‡ zachowujÄ…c co najmniej 4 godziny przerwy.
Dziurawiec zwyczajny zmniejsza stÄ™Å¼enie dronaderonu we krwi, nie wpÅ‚ywajÄ…c na stÄ™Å¼enie czynnego metabolitu. NaleÅ¼y unikaÄ‡ Å‚Ä…cznego ich przyjmowania.
",https://www.doz.pl//leki/w315-Dronedaron,dronedaron,"DronedaronÂ wspiera zachowanie stabilnego rytmu zatokowego, po skutecznie przeprowadzonej kardiowersji u pacjentÃ³w cierpiÄ…cych na napadowe albo przetrwaÅ‚e migotanie przedsionkÃ³w.",,,,,,,,,,,,,,,,,,,,,,,,,,choroby układu krwionosnego,
Droperydol,Droperidol,,alkohol,,,zaburzenie rytmu serca,"Jednoczesne stosowanie droperydolu z alkoholem zwiÄ™ksza ryzyko wystÄ…pienia groÅºnych zaburzeÅ„ rytmu serca.
",https://www.doz.pl//leki/w316-Droperydol,droperydol,"Droperydol jest stosowany wyÅ‚Ä…cznie w lecznictwie szpitalnym. Ze wzglÄ™du na swoje silne dziaÅ‚anie przeciwwymiotne znajduje zastosowanie w zapobieganiu i leczeniu nudnoÅ›ci oraz wymiotÃ³w pooperacyjnych u pacjentÃ³w dorosÅ‚ych, oraz u dzieci i mÅ‚odzieÅ¼y gdzie jest stosowany jako lek drugiego rzutu. Jest rÃ³wnieÅ¼ wykorzystywany w zapobieganiu nudnoÅ›ciom i wymiotom mogÄ…cym wystÄ…piÄ‡ podczas stosowaniu pochodnych morfiny w pooperacyjnym leczeniu bÃ³lu.",,,,,,,,,,,,,,,,,,,,,,,,,,choroby pokarmowe,
Drospirenon,Drospirenone,cytochrom,grejpfrut,,,,"Przyjmowanie drospirenonu wraz z posiÅ‚kiem nie wpÅ‚ywa na jego wchÅ‚anianie, jednak grejpfrut moÅ¼e zwiÄ™kszaÄ‡ stÄ™Å¼enie drospirenonu w osoczu.
Stosowanie drospirenonu z substancjami indukujÄ…cymi pracÄ™ enzymÃ³wÂ  cytochromu P450 moÅ¼e doprowadziÄ‡ do zwiÄ™kszonego klirensu hormonÃ³w pÅ‚ciowych a przez to skutecznie obniÅ¼yÄ‡ dziaÅ‚anie antykoncepcyjne i wywoÅ‚aÄ‡ krwawienie miÄ™dzymiesiÄ…czkowe. IndukcjÄ™ enzymatycznÄ… obserwuje siÄ™ juÅ¼ zwykle po kilku dniach jego przyjmowania, natomiast maksimum jest zauwaÅ¼alne po kilku tygodniach i moÅ¼e trwaÄ‡ nawet do czterech tygodni od zaprzestania przyjmowania drospirenonu. Kobiety, ktÃ³rym wÅ‚Ä…czono do leczenia substancje mogÄ…ce indukowaÄ‡ pracÄ™ enzymÃ³w powinny stosowaÄ‡ dodatkowe zabezpieczenie antykoncepcyjne w trakcie ich uÅ¼ywania oraz przez kilka tygodni po zakoÅ„czonej nimi kuracji.
",https://www.doz.pl//leki/w317-Drospirenon,drospirenon,"Wskazaniem do stosowania drospierenonu jest doustna antykoncepcja orazÂ  hormonalna terapia zastÄ™pcza (HTZ), gdzie jest jednym ze skÅ‚adnikÃ³w produktÃ³w zÅ‚oÅ¼onych.",,,,,,,,,,,,,,,,,,,,,,,,,,opryszczka,
Drotaweryna,Drotaverine,,,,,,"DrotawerynÄ™ moÅ¼na przyjmowaÄ‡ z posiÅ‚kiem lub niezaleÅ¼nie od posiÅ‚kÃ³w.
",https://www.doz.pl//leki/w1393-Drotaweryna,chlorowodorek drotaweryny,Drotaweryna jest pochodnÄ… papaweryny o dziaÅ‚aniu rozkurczajÄ…cym miÄ™Å›nie gÅ‚adkie. DziaÅ‚a na wszystkie rodzaje miÄ™Å›ni bez wzglÄ™du na to gdzie one sÄ… umiejscowione.,,,,,,,,,,,,,,,,,,,,,,,,,,choroby pokarmowe,
Dulaglutyd,Dulaglutide,,słodycze,,,,"Ze wzglÄ™du na specyfikÄ™ schorzenia, w ktÃ³rym stosuje siÄ™ dulaglutyd zalecana jest dieta o niskim indeksie glikemicznym.
",https://www.doz.pl//leki/w319-Dulaglutyd,dulaglutyd,"Wskazaniem do stosowania dulaglutydu jest cukrzyca typu 2, w ktÃ³rej nie da siÄ™ osiÄ…gnÄ…Ä‡ kontroli glikemii za pomocÄ… wysiÅ‚ku fizycznego i diety lub przy nietolerancji metforminy. Dulaglutyd jest stosowany w monoterapii lub leczeniu skojarzonym.",,,,,,,,,,,,,,,,,,,,,,,,,,cukrzyca,
Duloksetyna,Duloxetine,,alkohol,,,unikac promieni słonecznych,"Przyjmowanie leku z pokarmem moÅ¼e opÃ³ÅºniÄ‡ wystÄ…pienie maksymalnego stÄ™Å¼enie we krwi o trzy godziny. Maksymalne stÄ™Å¼enie osiÄ…gane przez duloksetynÄ™ w osoczu zmniejsza siÄ™ o 10% zakÅ‚adanej wartoÅ›ci w przypadku przyjÄ™cia leku z posiÅ‚kiem.
Podczas terapii z wykorzystaniem duloksetyny nie naleÅ¼y jednoczeÅ›nie spoÅ¼ywaÄ‡ alkoholu. Przyjmowanie duÅ¼ych iloÅ›ci alkoholu w trakcie leczenia duloksetynÄ… niesie ze sobÄ… wzrost ryzyka uszkodzenia wÄ…troby.
Duloksetyna moÅ¼e wywoÅ‚aÄ‡ wystÄ…pienie zjawiska fotowraÅ¼liwoÅ›ci. Ze wzglÄ™du na moÅ¼liwoÅ›Ä‡ wystÄ…pienia reakcji fotouczulajÄ…cej naleÅ¼y chroniÄ‡ skÃ³rÄ™ przed ostrym i bezpoÅ›rednim Å›wiatÅ‚em sÅ‚onecznym oraz zrezygnowaÄ‡ z korzystania z solarium.
",https://www.doz.pl//leki/w320-Duloksetyna,"duloksetyna, chlorowodorek duloksetyny","Duloksetyna zostaÅ‚a zarejestrowana w leczeniu zaburzeÅ„ psychicznych, doÂ ktÃ³rych naleÅ¼y miÄ™dzy innymi depresja. Jest ona takÅ¼e stosowana w celu Å‚agodzenia ciÄ™Å¼kich epizodÃ³w depresyjnych oraz zaburzeÅ„ lÄ™kowych o charakterze uogÃ³lnionym.",,,,,,,,,,,,,,,,,,,,,,,,,,depresja,
Dupilumab,Dupilumab,,,,,,"Brak danych na temat interakcji dupilumabu z poÅ¼ywieniem.Â 
Brak danych na temat interakcji dupilumabu z alkoholem.Â 
",https://www.doz.pl//leki/w1307-Dupilumab,dupilumab,"Dupilumab jestÂ stosowany w terapii atopowego zapalenie skÃ³ry u dorosÅ‚ych i dzieci od 12 roku Å¼ycia, kwalifikujÄ…cego siÄ™ do leczenia ogÃ³lnego.",,,,,,,,,,,,,,,,,,,,,,,,,,zapalenie skory,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dydrogesteron,Dydrogesterone,,"alkohol, dziurawiec",,,,"ÅÄ…czenie alkoholu z lekami moÅ¼e powodowaÄ‡ nasilenie dziaÅ‚ania skutkÃ³w ubocznych. W przypadku dydrogestegonu nie ma jednoznacznych interakcji substancji czynnej z alkoholem, jednakÅ¼e naleÅ¼y zwrÃ³ciÄ‡ uwagÄ™ na przyczynÄ™ przyjmowania pochodnej progesteronu. Stosowanie dydrogestegonu w okresie ciÄ…Å¼y, caÅ‚kowicie zabrania przyjmowania alkoholu, ze wzglÄ™du na zwiÄ™kszone m.in. ryzyko poronienia oraz alkoholowego zespoÅ‚u pÅ‚odowego. Â 
Wszelkie produkty zioÅ‚owe zawierajÄ…ce w swoim skÅ‚adzie dziurawiec zwyczajnego tj. HypericumÂ perforatum, a takÅ¼e preparaty z szaÅ‚wiÄ…, korzeniem kozÅ‚ka lekarskiego (Valeriana ofiicinalis),Â Â miÅ‚orzÄ™bem dwuklapowym (Ginkgo Biloba) stosowane rÃ³wnoczeÅ›nie z dydrogesteronem mogÄ… powodowaÄ‡ zwiÄ™kszenie metabolizmu podanej substancji czynnej, co skutkuje zmniejszeniem dziaÅ‚ania podanego preparatu.Â 
",https://www.doz.pl//leki/w322-Dydrogesteron,dydrogesteron,1. Dydrogesteron stosowany jest gÅ‚Ã³wnie w niedoborach progesteronu. ,,,,,,,,,,,,,,,,,,,,,,,,,,chroby hormonalne,
Edoksaban,Edoxaban,,"pieprz, grejpfrut, soja, kurkuma, zielona herbata, alkohol, dziurawiec",,,,"NiektÃ³re skÅ‚adniki pokarmoweÂ oraz preparaty zioÅ‚owe mogÄ… wpÅ‚ywaÄ‡ na farmakokinetykÄ™ edoksabanu, a przez to osÅ‚abiaÄ‡ lub nasilaÄ‡ jego dziaÅ‚anie przeciwzakrzepowe. Zaliczamy do nich miedzy innymi: miÅ‚orzÄ…b japoÅ„skiÂ (Ginkgo biloba), berberynÄ™, pieprz czarny, grejpfrut, apigeninÄ™, rutynÄ™, kapsaicynÄ™, ekstrakt z soi, notoginsenozyd R1 (pochodzÄ…cy z Å»eÅ„-Szenia faÅ‚szywego), kurkuminÄ™, zielonÄ…Â herbatÄ™, honokiolu, dziurawiec, kwercetynÄ™, korzeÅ„ tarczownicyÂ bajkalskiej, mleko sojowe, sukralozÄ™, lukrecjÄ™ (i produkty niÄ… sÅ‚odzone), genipinÄ™, mango. NaleÅ¼y rÃ³wnieÅ¼ unikaÄ‡ skÅ‚adnikÃ³w, ktÃ³re wykazujÄ… dziaÅ‚anie antykoagulacyjne jak na przykÅ‚ad: czosnek, imbir, danshen oraz borÃ³wkaÂ czarna.
Alkohol moÅ¼e nasilaÄ‡ dziaÅ‚anie leku i prowadziÄ‡ do intensywnych krwawieÅ„.
dziurawiec (Hypericum perforatum)Â  zmniejszaÂ stÄ™Å¼enieÂ edoksabanu w osoczu krwi.
",https://www.doz.pl//leki/w323-Edoksaban,edoksaban,"Edoksaban jest stosowany w profilaktyce udarÃ³w mÃ³zgu i zatorowoÅ›ci systemowej u dorosÅ‚ych pacjentÃ³w z niezastawkowym migotaniem przedsionkÃ³w, u ktÃ³rych wystÄ™puje co najmniej jeden nastÄ™pujÄ…cych czynnikÃ³w ryzyka: zastoinowa niewydolnoÅ›Ä‡ serca, nadciÅ›nienie tÄ™tnicze, wiek â‰¥ 75 lat, cukrzyca, przebyty udar mÃ³zgu, przemijajÄ…cy napad niedokrwienny.",,,,,,,,,,,,,,,,,,,,,,,,,,choroby układu krwionosnego,
Edotreotyd,Edotreotide,,,,,pic wode,"ZarÃ³wno przed podaniem edotreotydu jak i po zabiegu, pacjenci powinni wypijaÄ‡ duÅ¼Ä… iloÅ›Ä‡ pÅ‚ynÃ³w aby szybko wyeliminowaÄ‡ lek z organizmu.
",https://www.doz.pl//leki/w324-Edotreotyd,edotreotyd,"Edotreotyd jest czynnikiem diagnostycznym stosowanym w celu wykrycia lokalizacji guzÃ³w i przerzutÃ³w. Lek znakowany za pomocÄ… roztworu chlorku galu (68Ga) jest wykorzystywany w badaniu PET (pozytonowa tomografia emisyjna). Badanie diagnostyczne jest nieinwazyjne i opiera siÄ™ na emisji pozytonÃ³w przez czÄ…steczki podanego Å›rodka diagnostycznego, ktÃ³ry gromadzi siÄ™ w tkankach aktywnych metabolicznie (tkanki nowotworowe, w tym guzy neuroendokrynne z dodatnim receptorem somastatynowym).",,,,,,,,,,,,,,,,,,,,,,,,,,choroby nowotworowe,
Efawirenz,Efavirenz,,grejpfrut,,,,"Przyjmowanie efawirenzu z posiÅ‚kiem moÅ¼e powodowaÄ‡ zwiÄ™kszenie naraÅ¼enia na substancjÄ™, co z kolei moÅ¼e byÄ‡ przyczynÄ… wystÄ™powania dziaÅ‚aÅ„ niepoÅ¼Ä…danych. Z tego powodu efawirenz powinien byÄ‡ przyjmowany na czczo, najlepiej przed snem. Nie wolno go stosowaÄ‡ z sokiem grapefruitowym, ktÃ³ry obniÅ¼a aktywnoÅ›Ä‡ enzymÃ³w metabolizujÄ…cych efawirenz.
ZwiÄ™kszenie stÄ™Å¼enia efawirenzu we krwi moÅ¼emy obserwowaÄ‡ gdy jest popijany sokiem grapefruitowym, takie poÅ‚Ä…czenie nie jest zalecane.
",https://www.doz.pl//leki/w325-Efawirenz,efawirenz,"Efawirenz jest stosowany do leczenia skojarzonego zakaÅ¼eÅ„ ludzkim wirusem upoÅ›ledzenia odpornoÅ›ci-1 (HIV-1). Wskazany jest dla dzieci w wieku od trzech miesiÄ™cy (gdy ich waga przekracza 3,5 kg) oraz mÅ‚odzieÅ¼y i dorosÅ‚ych.",,,,,,,,,,,,,,,,,,,,,,,,,,HIV,
Ekonazol,Econazole,,,,,,"Substancja nie ma wpÅ‚ywu na prowadzenie pojazdÃ³w i obsÅ‚ugÄ™ maszyn.
",https://www.doz.pl//leki/w329-Ekonazol,"azotan ekonazolu, ekonazol","Ekonazol stosuje siÄ™ miejscowo do leczenia grzybicy stÃ³p i rÄ…k, grzybicy podudzia, grzybicy tuÅ‚owia, grzybicy owÅ‚osionej skÃ³ry gÅ‚owy, w droÅ¼dÅ¼ycy rÄ…k i paznokci, grzybicznegoÂ zapaleniaÂ ucha wewnÄ™trznego. Wskazaniem do stosowania sÄ… takÅ¼e Å‚upieÅ¼ pstry, zakaÅ¼enia grzybicze sromu,Â pochwy i Å¼oÅ‚Ä™dzi oraz zakaÅ¼enia powikÅ‚ane bakteriami Gram-dodatnimi.Â ",,,,,,,,,,,,,,,,,,,,,,,,,,grzybica,
Eksemestan,Exemestane,,"alkohol, dziurawiec",,,,"Nie potwierdzono interakcji z poÅ¼ywieniem, jednak wykazano, ze stosowanie eksemestanu z poÅ¼ywieniem zwiÄ™ksza dostÄ™pnoÅ›Ä‡ biologicznÄ…Â leku o 40%.
Brakuje danych na temat interakcji eksemestanu z alkoholem, nie zaleca siÄ™ jednak spoÅ¼ywania napojÃ³w alkoholowych podczas terapii.
dziurawiec (Hypericum perforatum) moÅ¼e zmniejszaÄ‡ skutecznoÅ›Ä‡ eksemestanu.
",https://www.doz.pl//leki/w330-Eksemestan,eksemestan,"Eksemestan jest stosowany jako uzupeÅ‚nienie terapii u pacjentek po menopauzie z inwazyjnym wczesnym rakiem piersi po okoÅ‚o 2-3 latach stosowania leczenia uzupeÅ‚niajÄ…cego tamoksifenem oraz w leczeniu zaawansowanego raka piersi u pacjentek po menopauzie (wywoÅ‚anej leczeniem lub naturalnej), u ktÃ³rych choroba rozwinÄ™Å‚a siÄ™ po zastosowaniu terapiiÂ przeciwestrogenowej. Warunkiem koniecznym skutecznoÅ›ci eksemestanu u kobiet jest obecnoÅ›Ä‡ receptorÃ³w estrogenowych w tkance guza.",,,,,,,,,,,,,,,,,,,,,,,,,,choroby nowotworowe,
Eksenatyd,Exenatide,,,,,nie stosowac w okresie ciazy,"Eksenatydu nie naleÅ¼y stosowaÄ‡ w okresie ciÄ…Å¼y ze wzglÄ™du na brak wystarczajÄ…cych danych dotyczÄ…cych bezpieczeÅ„stwa takiej terapii.
",https://www.doz.pl//leki/w331-Eksenatyd,eksenatyd,"Eksenatyd zwiÄ™kszaÂ wytwarzanie insuliny, prowadzÄ…c do obniÅ¼enia stÄ™Å¼enia cukru we krwi.Â ",,,,,,,,,,,,,,,,,,,,,,,,,,cukrzyca,
Ekulizumab,Eculizumab,,,,,,"Ekulizumab nie wpÅ‚ywa na zdolnoÅ›Ä‡ do prowadzenia pojazdÃ³w mechanicznych.Â 
",https://www.doz.pl//leki/w332-Ekulizumab,ekulizumab,"Ekulizumab znajduje zastosowanie w leczeniu bardzo rzadkich schorzeÅ„ u dorosÅ‚ych i dzieci,Â takich jak napadowaÂ nocnaÂ hemoglobinuria, atypowyÂ zespÃ³Å‚Â hemolitycznoâ€“mocznicowy oraz wyÅ‚Ä…cznie u dorosÅ‚ychÂ pacjentÃ³wÂ zÂ przeciwciaÅ‚ami przeciwko receptorowi acetylocholinowemu w przypadku opornejÂ na leczenie uogÃ³lnionejÂ miasteniiÂ rzekomoporaÅºnej.",,,,,,,,,,,,,,,,,,,,,,,,,,depresja,
Elbaswir,Elbasvir,,"grejpfrut, dziurawiec",,,,"W trakcie terapii elbaswirem nie naleÅ¼y spoÅ¼ywaÄ‡ grejpfrutÃ³w oraz soku grejpfrutowego. Owoc ten zawiera zwiÄ…zki hamujÄ…ce aktywnoÅ›Ä‡ izoenzymÃ³w CYP3A, co moÅ¼e prowadziÄ‡ do wzrostuÂ stÄ™Å¼enia leku w osoczu oraz zwiÄ™kszenia ryzyka dziaÅ‚aÅ„ niepoÅ¼Ä…danych.
Brak danych na temat interakcji elbaswiru z alkoholem.
W trakcie terapii elbaswirem nie powinno stosowaÄ‡ siÄ™ ziela dziurawca. ZwiÄ…zki zawarte w tej roÅ›linie peÅ‚niÄ… rolÄ™ induktoraÂ izoenzymÃ³w CYP3A, nasilajaÂ metabolizm substancji orazÂ  ostatecznie zmniejszajÄ… jej stÄ™Å¼enie w osoczu. MoÅ¼e to skutkowaÄ‡ brakiem efektÃ³w leczenia.Â 
",https://www.doz.pl//leki/w333-Elbaswir,elbaswir,Elbaswir w poÅ‚Ä…czeniu z grazoprewirem jest wskazany w leczeniu przewlekÅ‚ego wirusowego zapalenia wÄ…troby typu C (genotypy HCV 1 oraz 4)Â w skojarzeniu z ribawirynÄ… lub bez.,,,,,,,,,,,,,,,,,,,,,,,,,,WZW C,
Eletryptan,Eletriptan,,dziurawiec,,,,"PosiÅ‚ek bogatotÅ‚uszczowy moÅ¼e zwiÄ™kszyÄ‡ wartoÅ›Ä‡ stÄ™Å¼enia maksymalnego leku o 20-30%.
PoÅ‚Ä…czenie eletryptanu z preparatami z dziurawca moÅ¼e nasilaÄ‡ dziaÅ‚ania niepoÅ¼Ä…dane leku.
",https://www.doz.pl//leki/w334-Eletryptan,eletryptan,EletryptanÂ jest stosowany w celu przerwania ostrego napadu migreny (z aurÄ… lub bez aury). Leku nie naleÅ¼y stosowaÄ‡ w celu zapobiegania napadom migrenowym.,,,,,,,,,,,,,,,,,,,,,,,,,,migrena,
